Query_ID,Identity_ID,Name,Image_Type,Priority,Query
Q000813,ID000102,Emma Thompson,Fake,4,Emma Thompson viral deepfake
Q000814,ID000102,Emma Thompson,Fake,5,Emma Thompson synthetic face
Q000815,ID000102,Emma Thompson,Fake,6,Emma Thompson Stable Diffusion
Q000816,ID000102,Emma Thompson,Fake,7,Emma Thompson Midjourney
Q000817,ID000103,Emma Watson,Real,1,Emma Watson
Q000818,ID000103,Emma Watson,Fake,1,Emma Watson AI generated
Q000819,ID000103,Emma Watson,Fake,2,Emma Watson deepfake
Q000820,ID000103,Emma Watson,Fake,3,Emma Watson AI image
Q000821,ID000103,Emma Watson,Fake,4,Emma Watson viral deepfake
Q000822,ID000103,Emma Watson,Fake,5,Emma Watson synthetic face
Q000823,ID000103,Emma Watson,Fake,6,Emma Watson Stable Diffusion
Q000824,ID000103,Emma Watson,Fake,7,Emma Watson Midjourney
Q000825,ID000104,Emma-Mackey,Real,1,Emma-Mackey
Q000826,ID000104,Emma-Mackey,Fake,1,Emma-Mackey AI generated
Q000827,ID000104,Emma-Mackey,Fake,2,Emma-Mackey deepfake
Q000828,ID000104,Emma-Mackey,Fake,3,Emma-Mackey AI image
Q000829,ID000104,Emma-Mackey,Fake,4,Emma-Mackey viral deepfake
Q000830,ID000104,Emma-Mackey,Fake,5,Emma-Mackey synthetic face
Q000831,ID000104,Emma-Mackey,Fake,6,Emma-Mackey Stable Diffusion
Q000832,ID000104,Emma-Mackey,Fake,7,Emma-Mackey Midjourney
Q000833,ID000105,Engin_Altan,Real,1,Engin_Altan
Q000834,ID000105,Engin_Altan,Fake,1,Engin_Altan AI generated
Q000835,ID000105,Engin_Altan,Fake,2,Engin_Altan deepfake
Q000836,ID000105,Engin_Altan,Fake,3,Engin_Altan AI image
Q000837,ID000105,Engin_Altan,Fake,4,Engin_Altan viral deepfake
Q000838,ID000105,Engin_Altan,Fake,5,Engin_Altan synthetic face
Q000839,ID000105,Engin_Altan,Fake,6,Engin_Altan Stable Diffusion
Q000840,ID000105,Engin_Altan,Fake,7,Engin_Altan Midjourney
Q000841,ID000106,Eric Bana,Real,1,Eric Bana
Q000842,ID000106,Eric Bana,Fake,1,Eric Bana AI generated
Q000843,ID000106,Eric Bana,Fake,2,Eric Bana deepfake
Q000844,ID000106,Eric Bana,Fake,3,Eric Bana AI image
Q000845,ID000106,Eric Bana,Fake,4,Eric Bana viral deepfake
Q000846,ID000106,Eric Bana,Fake,5,Eric Bana synthetic face
Q000847,ID000106,Eric Bana,Fake,6,Eric Bana Stable Diffusion
Q000848,ID000106,Eric Bana,Fake,7,Eric Bana Midjourney
Q000849,ID000107,Ethan Hawke,Real,1,Ethan Hawke
Q000850,ID000107,Ethan Hawke,Fake,1,Ethan Hawke AI generated
Q000851,ID000107,Ethan Hawke,Fake,2,Ethan Hawke deepfake
Q000852,ID000107,Ethan Hawke,Fake,3,Ethan Hawke AI image
Q000853,ID000107,Ethan Hawke,Fake,4,Ethan Hawke viral deepfake
Q000854,ID000107,Ethan Hawke,Fake,5,Ethan Hawke synthetic face
Q000855,ID000107,Ethan Hawke,Fake,6,Ethan Hawke Stable Diffusion
Q000856,ID000107,Ethan Hawke,Fake,7,Ethan Hawke Midjourney
Q000857,ID000108,Eugenio-Derbez,Real,1,Eugenio-Derbez
Q000858,ID000108,Eugenio-Derbez,Fake,1,Eugenio-Derbez AI generated
Q000859,ID000108,Eugenio-Derbez,Fake,2,Eugenio-Derbez deepfake
Q000860,ID000108,Eugenio-Derbez,Fake,3,Eugenio-Derbez AI image
Q000861,ID000108,Eugenio-Derbez,Fake,4,Eugenio-Derbez viral deepfake
Q000862,ID000108,Eugenio-Derbez,Fake,5,Eugenio-Derbez synthetic face
Q000863,ID000108,Eugenio-Derbez,Fake,6,Eugenio-Derbez Stable Diffusion
Q000864,ID000108,Eugenio-Derbez,Fake,7,Eugenio-Derbez Midjourney
Q000865,ID000109,Eva Green,Real,1,Eva Green
Q000866,ID000109,Eva Green,Fake,1,Eva Green AI generated
Q000867,ID000109,Eva Green,Fake,2,Eva Green deepfake
Q000868,ID000109,Eva Green,Fake,3,Eva Green AI image
Q000869,ID000109,Eva Green,Fake,4,Eva Green viral deepfake
Q000870,ID000109,Eva Green,Fake,5,Eva Green synthetic face
Q000871,ID000109,Eva Green,Fake,6,Eva Green Stable Diffusion
Q000872,ID000109,Eva Green,Fake,7,Eva Green Midjourney
Q000873,ID000110,Eva Mendes,Real,1,Eva Mendes
Q000874,ID000110,Eva Mendes,Fake,1,Eva Mendes AI generated
Q000875,ID000110,Eva Mendes,Fake,2,Eva Mendes deepfake
Q000876,ID000110,Eva Mendes,Fake,3,Eva Mendes AI image
Q000877,ID000110,Eva Mendes,Fake,4,Eva Mendes viral deepfake
Q000878,ID000110,Eva Mendes,Fake,5,Eva Mendes synthetic face
Q000879,ID000110,Eva Mendes,Fake,6,Eva Mendes Stable Diffusion
Q000880,ID000110,Eva Mendes,Fake,7,Eva Mendes Midjourney
Q000881,ID000111,Ewan McGregor,Real,1,Ewan McGregor
Q000882,ID000111,Ewan McGregor,Fake,1,Ewan McGregor AI generated
Q000883,ID000111,Ewan McGregor,Fake,2,Ewan McGregor deepfake
Q000884,ID000111,Ewan McGregor,Fake,3,Ewan McGregor AI image
Q000885,ID000111,Ewan McGregor,Fake,4,Ewan McGregor viral deepfake
Q000886,ID000111,Ewan McGregor,Fake,5,Ewan McGregor synthetic face
Q000887,ID000111,Ewan McGregor,Fake,6,Ewan McGregor Stable Diffusion
Q000888,ID000111,Ewan McGregor,Fake,7,Ewan McGregor Midjourney
Q000889,ID000112,Fawad-Khan,Real,1,Fawad-Khan
Q000890,ID000112,Fawad-Khan,Fake,1,Fawad-Khan AI generated
Q000891,ID000112,Fawad-Khan,Fake,2,Fawad-Khan deepfake
Q000892,ID000112,Fawad-Khan,Fake,3,Fawad-Khan AI image
Q000893,ID000112,Fawad-Khan,Fake,4,Fawad-Khan viral deepfake
Q000894,ID000112,Fawad-Khan,Fake,5,Fawad-Khan synthetic face
Q000895,ID000112,Fawad-Khan,Fake,6,Fawad-Khan Stable Diffusion
Q000896,ID000112,Fawad-Khan,Fake,7,Fawad-Khan Midjourney
Q000897,ID000113,Faye Dunaway,Real,1,Faye Dunaway
Q000898,ID000113,Faye Dunaway,Fake,1,Faye Dunaway AI generated
Q000899,ID000113,Faye Dunaway,Fake,2,Faye Dunaway deepfake
Q000900,ID000113,Faye Dunaway,Fake,3,Faye Dunaway AI image
Q000901,ID000113,Faye Dunaway,Fake,4,Faye Dunaway viral deepfake
Q000902,ID000113,Faye Dunaway,Fake,5,Faye Dunaway synthetic face
Q000903,ID000113,Faye Dunaway,Fake,6,Faye Dunaway Stable Diffusion
Q000904,ID000113,Faye Dunaway,Fake,7,Faye Dunaway Midjourney
Q000905,ID000114,Florian Wirtz,Real,1,Florian Wirtz
Q000906,ID000114,Florian Wirtz,Fake,1,Florian Wirtz AI generated
Q000907,ID000114,Florian Wirtz,Fake,2,Florian Wirtz deepfake
Q000908,ID000114,Florian Wirtz,Fake,3,Florian Wirtz AI image
Q000909,ID000114,Florian Wirtz,Fake,4,Florian Wirtz viral deepfake
Q000910,ID000114,Florian Wirtz,Fake,5,Florian Wirtz synthetic face
Q000911,ID000114,Florian Wirtz,Fake,6,Florian Wirtz Stable Diffusion
Q000912,ID000114,Florian Wirtz,Fake,7,Florian Wirtz Midjourney
Q000913,ID000115,Fran�ois Cluzet,Real,1,Fran�ois Cluzet
Q000914,ID000115,Fran�ois Cluzet,Fake,1,Fran�ois Cluzet AI generated
Q000915,ID000115,Fran�ois Cluzet,Fake,2,Fran�ois Cluzet deepfake
Q000916,ID000115,Fran�ois Cluzet,Fake,3,Fran�ois Cluzet AI image
Q000917,ID000115,Fran�ois Cluzet,Fake,4,Fran�ois Cluzet viral deepfake
Q000918,ID000115,Fran�ois Cluzet,Fake,5,Fran�ois Cluzet synthetic face
Q000919,ID000115,Fran�ois Cluzet,Fake,6,Fran�ois Cluzet Stable Diffusion
Q000920,ID000115,Fran�ois Cluzet,Fake,7,Fran�ois Cluzet Midjourney
Q000921,ID000116,G-Dragon,Real,1,G-Dragon
Q000922,ID000116,G-Dragon,Fake,1,G-Dragon AI generated
Q000923,ID000116,G-Dragon,Fake,2,G-Dragon deepfake
Q000924,ID000116,G-Dragon,Fake,3,G-Dragon AI image
Q000925,ID000116,G-Dragon,Fake,4,G-Dragon viral deepfake
Q000926,ID000116,G-Dragon,Fake,5,G-Dragon synthetic face
Q000927,ID000116,G-Dragon,Fake,6,G-Dragon Stable Diffusion
Q000928,ID000116,G-Dragon,Fake,7,G-Dragon Midjourney
Q000929,ID000117,Gabriel-Boric,Real,1,Gabriel-Boric
Q000930,ID000117,Gabriel-Boric,Fake,1,Gabriel-Boric AI generated
Q000931,ID000117,Gabriel-Boric,Fake,2,Gabriel-Boric deepfake
Q000932,ID000117,Gabriel-Boric,Fake,3,Gabriel-Boric AI image
Q000933,ID000117,Gabriel-Boric,Fake,4,Gabriel-Boric viral deepfake
Q000934,ID000117,Gabriel-Boric,Fake,5,Gabriel-Boric synthetic face
Q000935,ID000117,Gabriel-Boric,Fake,6,Gabriel-Boric Stable Diffusion
Q000936,ID000117,Gabriel-Boric,Fake,7,Gabriel-Boric Midjourney
Q000937,ID000118,Gene Hackman,Real,1,Gene Hackman
Q000938,ID000118,Gene Hackman,Fake,1,Gene Hackman AI generated
Q000939,ID000118,Gene Hackman,Fake,2,Gene Hackman deepfake
Q000940,ID000118,Gene Hackman,Fake,3,Gene Hackman AI image
Q000941,ID000118,Gene Hackman,Fake,4,Gene Hackman viral deepfake
Q000942,ID000118,Gene Hackman,Fake,5,Gene Hackman synthetic face
Q000943,ID000118,Gene Hackman,Fake,6,Gene Hackman Stable Diffusion
Q000944,ID000118,Gene Hackman,Fake,7,Gene Hackman Midjourney
Q000945,ID000119,Gene Wilder,Real,1,Gene Wilder
Q000946,ID000119,Gene Wilder,Fake,1,Gene Wilder AI generated
Q000947,ID000119,Gene Wilder,Fake,2,Gene Wilder deepfake
Q000948,ID000119,Gene Wilder,Fake,3,Gene Wilder AI image
Q000949,ID000119,Gene Wilder,Fake,4,Gene Wilder viral deepfake
Q000950,ID000119,Gene Wilder,Fake,5,Gene Wilder synthetic face
Q000951,ID000119,Gene Wilder,Fake,6,Gene Wilder Stable Diffusion
Q000952,ID000119,Gene Wilder,Fake,7,Gene Wilder Midjourney
Q000953,ID000120,George C. Scott,Real,1,George C. Scott
Q000954,ID000120,George C. Scott,Fake,1,George C. Scott AI generated
Q000955,ID000120,George C. Scott,Fake,2,George C. Scott deepfake
Q000956,ID000120,George C. Scott,Fake,3,George C. Scott AI image
Q000957,ID000120,George C. Scott,Fake,4,George C. Scott viral deepfake
Q000958,ID000120,George C. Scott,Fake,5,George C. Scott synthetic face
Q000959,ID000120,George C. Scott,Fake,6,George C. Scott Stable Diffusion
Q000960,ID000120,George C. Scott,Fake,7,George C. Scott Midjourney
Q000961,ID000121,George Clooney,Real,1,George Clooney
Q000962,ID000121,George Clooney,Fake,1,George Clooney AI generated
Q000963,ID000121,George Clooney,Fake,2,George Clooney deepfake
Q000964,ID000121,George Clooney,Fake,3,George Clooney AI image
Q000965,ID000121,George Clooney,Fake,4,George Clooney viral deepfake
Q000966,ID000121,George Clooney,Fake,5,George Clooney synthetic face
Q000967,ID000121,George Clooney,Fake,6,George Clooney Stable Diffusion
Q000968,ID000121,George Clooney,Fake,7,George Clooney Midjourney
Q000969,ID000122,Gerard Butler,Real,1,Gerard Butler
Q000970,ID000122,Gerard Butler,Fake,1,Gerard Butler AI generated
Q000971,ID000122,Gerard Butler,Fake,2,Gerard Butler deepfake
Q000972,ID000122,Gerard Butler,Fake,3,Gerard Butler AI image
Q000973,ID000122,Gerard Butler,Fake,4,Gerard Butler viral deepfake
Q000974,ID000122,Gerard Butler,Fake,5,Gerard Butler synthetic face
Q000975,ID000122,Gerard Butler,Fake,6,Gerard Butler Stable Diffusion
Q000976,ID000122,Gerard Butler,Fake,7,Gerard Butler Midjourney
Q000977,ID000123,Giorgia-Meloni,Real,1,Giorgia-Meloni
Q000978,ID000123,Giorgia-Meloni,Fake,1,Giorgia-Meloni AI generated
Q000979,ID000123,Giorgia-Meloni,Fake,2,Giorgia-Meloni deepfake
Q000980,ID000123,Giorgia-Meloni,Fake,3,Giorgia-Meloni AI image
Q000981,ID000123,Giorgia-Meloni,Fake,4,Giorgia-Meloni viral deepfake
Q000982,ID000123,Giorgia-Meloni,Fake,5,Giorgia-Meloni synthetic face
Q000983,ID000123,Giorgia-Meloni,Fake,6,Giorgia-Meloni Stable Diffusion
Q000984,ID000123,Giorgia-Meloni,Fake,7,Giorgia-Meloni Midjourney
Q000985,ID000124,Glenn Close,Real,1,Glenn Close
Q000986,ID000124,Glenn Close,Fake,1,Glenn Close AI generated
Q000987,ID000124,Glenn Close,Fake,2,Glenn Close deepfake
Q000988,ID000124,Glenn Close,Fake,3,Glenn Close AI image
Q000989,ID000124,Glenn Close,Fake,4,Glenn Close viral deepfake
Q000990,ID000124,Glenn Close,Fake,5,Glenn Close synthetic face
Q000991,ID000124,Glenn Close,Fake,6,Glenn Close Stable Diffusion
Q000992,ID000124,Glenn Close,Fake,7,Glenn Close Midjourney
Q000993,ID000125,Glenn Maxwell,Real,1,Glenn Maxwell
Q000994,ID000125,Glenn Maxwell,Fake,1,Glenn Maxwell AI generated
Q000995,ID000125,Glenn Maxwell,Fake,2,Glenn Maxwell deepfake
Q000996,ID000125,Glenn Maxwell,Fake,3,Glenn Maxwell AI image
Q000997,ID000125,Glenn Maxwell,Fake,4,Glenn Maxwell viral deepfake
Q000998,ID000125,Glenn Maxwell,Fake,5,Glenn Maxwell synthetic face
Q000999,ID000125,Glenn Maxwell,Fake,6,Glenn Maxwell Stable Diffusion
Q001000,ID000125,Glenn Maxwell,Fake,7,Glenn Maxwell Midjourney
Q001001,ID000126,Greg Kinnear,Real,1,Greg Kinnear
Q001002,ID000126,Greg Kinnear,Fake,1,Greg Kinnear AI generated
Q001003,ID000126,Greg Kinnear,Fake,2,Greg Kinnear deepfake
Q001004,ID000126,Greg Kinnear,Fake,3,Greg Kinnear AI image
Q001005,ID000126,Greg Kinnear,Fake,4,Greg Kinnear viral deepfake
Q001006,ID000126,Greg Kinnear,Fake,5,Greg Kinnear synthetic face
Q001007,ID000126,Greg Kinnear,Fake,6,Greg Kinnear Stable Diffusion
Q001008,ID000126,Greg Kinnear,Fake,7,Greg Kinnear Midjourney
Q001009,ID000127,Gregory Peck,Real,1,Gregory Peck
Q001010,ID000127,Gregory Peck,Fake,1,Gregory Peck AI generated
Q001011,ID000127,Gregory Peck,Fake,2,Gregory Peck deepfake
Q001012,ID000127,Gregory Peck,Fake,3,Gregory Peck AI image
Q001013,ID000127,Gregory Peck,Fake,4,Gregory Peck viral deepfake
Q001014,ID000127,Gregory Peck,Fake,5,Gregory Peck synthetic face
Q001015,ID000127,Gregory Peck,Fake,6,Gregory Peck Stable Diffusion
Q001016,ID000127,Gregory Peck,Fake,7,Gregory Peck Midjourney
Q001017,ID000128,Guy Pearce,Real,1,Guy Pearce
Q001018,ID000128,Guy Pearce,Fake,1,Guy Pearce AI generated
Q001019,ID000128,Guy Pearce,Fake,2,Guy Pearce deepfake
Q001020,ID000128,Guy Pearce,Fake,3,Guy Pearce AI image
Q001021,ID000128,Guy Pearce,Fake,4,Guy Pearce viral deepfake
Q001022,ID000128,Guy Pearce,Fake,5,Guy Pearce synthetic face
Q001023,ID000128,Guy Pearce,Fake,6,Guy Pearce Stable Diffusion
Q001024,ID000128,Guy Pearce,Fake,7,Guy Pearce Midjourney
Q001025,ID000129,G�rard Depardieu,Real,1,G�rard Depardieu
Q001026,ID000129,G�rard Depardieu,Fake,1,G�rard Depardieu AI generated
Q001027,ID000129,G�rard Depardieu,Fake,2,G�rard Depardieu deepfake
Q001028,ID000129,G�rard Depardieu,Fake,3,G�rard Depardieu AI image
Q001029,ID000129,G�rard Depardieu,Fake,4,G�rard Depardieu viral deepfake
Q001030,ID000129,G�rard Depardieu,Fake,5,G�rard Depardieu synthetic face
Q001031,ID000129,G�rard Depardieu,Fake,6,G�rard Depardieu Stable Diffusion
Q001032,ID000129,G�rard Depardieu,Fake,7,G�rard Depardieu Midjourney
Q001033,ID000130,Hadika-Kyani,Real,1,Hadika-Kyani
Q001034,ID000130,Hadika-Kyani,Fake,1,Hadika-Kyani AI generated
Q001035,ID000130,Hadika-Kyani,Fake,2,Hadika-Kyani deepfake
Q001036,ID000130,Hadika-Kyani,Fake,3,Hadika-Kyani AI image
Q001037,ID000130,Hadika-Kyani,Fake,4,Hadika-Kyani viral deepfake
Q001038,ID000130,Hadika-Kyani,Fake,5,Hadika-Kyani synthetic face
Q001039,ID000130,Hadika-Kyani,Fake,6,Hadika-Kyani Stable Diffusion
Q001040,ID000130,Hadika-Kyani,Fake,7,Hadika-Kyani Midjourney
Q001041,ID000131,Halle Berry,Real,1,Halle Berry
Q001042,ID000131,Halle Berry,Fake,1,Halle Berry AI generated
Q001043,ID000131,Halle Berry,Fake,2,Halle Berry deepfake
Q001044,ID000131,Halle Berry,Fake,3,Halle Berry AI image
Q001045,ID000131,Halle Berry,Fake,4,Halle Berry viral deepfake
Q001046,ID000131,Halle Berry,Fake,5,Halle Berry synthetic face
Q001047,ID000131,Halle Berry,Fake,6,Halle Berry Stable Diffusion
Q001048,ID000131,Halle Berry,Fake,7,Halle Berry Midjourney
Q001049,ID000132,Hande-Ercel,Real,1,Hande-Ercel
Q001050,ID000132,Hande-Ercel,Fake,1,Hande-Ercel AI generated
Q001051,ID000132,Hande-Ercel,Fake,2,Hande-Ercel deepfake
Q001052,ID000132,Hande-Ercel,Fake,3,Hande-Ercel AI image
Q001053,ID000132,Hande-Ercel,Fake,4,Hande-Ercel viral deepfake
Q001054,ID000132,Hande-Ercel,Fake,5,Hande-Ercel synthetic face
Q001055,ID000132,Hande-Ercel,Fake,6,Hande-Ercel Stable Diffusion
Q001056,ID000132,Hande-Ercel,Fake,7,Hande-Ercel Midjourney
Q001057,ID000133,Hania-Amir,Real,1,Hania-Amir
Q001058,ID000133,Hania-Amir,Fake,1,Hania-Amir AI generated
Q001059,ID000133,Hania-Amir,Fake,2,Hania-Amir deepfake
Q001060,ID000133,Hania-Amir,Fake,3,Hania-Amir AI image
Q001061,ID000133,Hania-Amir,Fake,4,Hania-Amir viral deepfake
Q001062,ID000133,Hania-Amir,Fake,5,Hania-Amir synthetic face
Q001063,ID000133,Hania-Amir,Fake,6,Hania-Amir Stable Diffusion
Q001064,ID000133,Hania-Amir,Fake,7,Hania-Amir Midjourney
Q001065,ID000134,Hannah Stocking,Real,1,Hannah Stocking
Q001066,ID000134,Hannah Stocking,Fake,1,Hannah Stocking AI generated
Q001067,ID000134,Hannah Stocking,Fake,2,Hannah Stocking deepfake
Q001068,ID000134,Hannah Stocking,Fake,3,Hannah Stocking AI image
Q001069,ID000134,Hannah Stocking,Fake,4,Hannah Stocking viral deepfake
Q001070,ID000134,Hannah Stocking,Fake,5,Hannah Stocking synthetic face
Q001071,ID000134,Hannah Stocking,Fake,6,Hannah Stocking Stable Diffusion
Q001072,ID000134,Hannah Stocking,Fake,7,Hannah Stocking Midjourney
Q001073,ID000135,Hardik-Panday,Real,1,Hardik-Panday
Q001074,ID000135,Hardik-Panday,Fake,1,Hardik-Panday AI generated
Q001075,ID000135,Hardik-Panday,Fake,2,Hardik-Panday deepfake
Q001076,ID000135,Hardik-Panday,Fake,3,Hardik-Panday AI image
Q001077,ID000135,Hardik-Panday,Fake,4,Hardik-Panday viral deepfake
Q001078,ID000135,Hardik-Panday,Fake,5,Hardik-Panday synthetic face
Q001079,ID000135,Hardik-Panday,Fake,6,Hardik-Panday Stable Diffusion
Q001080,ID000135,Hardik-Panday,Fake,7,Hardik-Panday Midjourney
Q001081,ID000136,Harry-Kane,Real,1,Harry-Kane
Q001082,ID000136,Harry-Kane,Fake,1,Harry-Kane AI generated
Q001083,ID000136,Harry-Kane,Fake,2,Harry-Kane deepfake
Q001084,ID000136,Harry-Kane,Fake,3,Harry-Kane AI image
Q001085,ID000136,Harry-Kane,Fake,4,Harry-Kane viral deepfake
Q001086,ID000136,Harry-Kane,Fake,5,Harry-Kane synthetic face
Q001087,ID000136,Harry-Kane,Fake,6,Harry-Kane Stable Diffusion
Q001088,ID000136,Harry-Kane,Fake,7,Harry-Kane Midjourney
Q001089,ID000137,Heath Ledger,Real,1,Heath Ledger
Q001090,ID000137,Heath Ledger,Fake,1,Heath Ledger AI generated
Q001091,ID000137,Heath Ledger,Fake,2,Heath Ledger deepfake
Q001092,ID000137,Heath Ledger,Fake,3,Heath Ledger AI image
Q001093,ID000137,Heath Ledger,Fake,4,Heath Ledger viral deepfake
Q001094,ID000137,Heath Ledger,Fake,5,Heath Ledger synthetic face
Q001095,ID000137,Heath Ledger,Fake,6,Heath Ledger Stable Diffusion
Q001096,ID000137,Heath Ledger,Fake,7,Heath Ledger Midjourney
Q001097,ID000138,Helen Mirren,Real,1,Helen Mirren
Q001098,ID000138,Helen Mirren,Fake,1,Helen Mirren AI generated
Q001099,ID000138,Helen Mirren,Fake,2,Helen Mirren deepfake
Q001100,ID000138,Helen Mirren,Fake,3,Helen Mirren AI image
Q001101,ID000138,Helen Mirren,Fake,4,Helen Mirren viral deepfake
Q001102,ID000138,Helen Mirren,Fake,5,Helen Mirren synthetic face
Q001103,ID000138,Helen Mirren,Fake,6,Helen Mirren Stable Diffusion
Q001104,ID000138,Helen Mirren,Fake,7,Helen Mirren Midjourney
Q001105,ID000139,Helena Bonham Carter,Real,1,Helena Bonham Carter
Q001106,ID000139,Helena Bonham Carter,Fake,1,Helena Bonham Carter AI generated
Q001107,ID000139,Helena Bonham Carter,Fake,2,Helena Bonham Carter deepfake
Q001108,ID000139,Helena Bonham Carter,Fake,3,Helena Bonham Carter AI image
Q001109,ID000139,Helena Bonham Carter,Fake,4,Helena Bonham Carter viral deepfake
Q001110,ID000139,Helena Bonham Carter,Fake,5,Helena Bonham Carter synthetic face
Q001111,ID000139,Helena Bonham Carter,Fake,6,Helena Bonham Carter Stable Diffusion
Q001112,ID000139,Helena Bonham Carter,Fake,7,Helena Bonham Carter Midjourney
Q001113,ID000140,Hilary Duff,Real,1,Hilary Duff
Q001114,ID000140,Hilary Duff,Fake,1,Hilary Duff AI generated
Q001115,ID000140,Hilary Duff,Fake,2,Hilary Duff deepfake
Q001116,ID000140,Hilary Duff,Fake,3,Hilary Duff AI image
Q001117,ID000140,Hilary Duff,Fake,4,Hilary Duff viral deepfake
Q001118,ID000140,Hilary Duff,Fake,5,Hilary Duff synthetic face
Q001119,ID000140,Hilary Duff,Fake,6,Hilary Duff Stable Diffusion
Q001120,ID000140,Hilary Duff,Fake,7,Hilary Duff Midjourney
Q001121,ID000141,Hiroyuki-Sanada,Real,1,Hiroyuki-Sanada
Q001122,ID000141,Hiroyuki-Sanada,Fake,1,Hiroyuki-Sanada AI generated
Q001123,ID000141,Hiroyuki-Sanada,Fake,2,Hiroyuki-Sanada deepfake
Q001124,ID000141,Hiroyuki-Sanada,Fake,3,Hiroyuki-Sanada AI image
Q001125,ID000141,Hiroyuki-Sanada,Fake,4,Hiroyuki-Sanada viral deepfake
Q001126,ID000141,Hiroyuki-Sanada,Fake,5,Hiroyuki-Sanada synthetic face
Q001127,ID000141,Hiroyuki-Sanada,Fake,6,Hiroyuki-Sanada Stable Diffusion
Q001128,ID000141,Hiroyuki-Sanada,Fake,7,Hiroyuki-Sanada Midjourney
Q001129,ID000142,Holly Hunter,Real,1,Holly Hunter
Q001130,ID000142,Holly Hunter,Fake,1,Holly Hunter AI generated
Q001131,ID000142,Holly Hunter,Fake,2,Holly Hunter deepfake
Q001132,ID000142,Holly Hunter,Fake,3,Holly Hunter AI image
Q001133,ID000142,Holly Hunter,Fake,4,Holly Hunter viral deepfake
Q001134,ID000142,Holly Hunter,Fake,5,Holly Hunter synthetic face
Q001135,ID000142,Holly Hunter,Fake,6,Holly Hunter Stable Diffusion
Q001136,ID000142,Holly Hunter,Fake,7,Holly Hunter Midjourney
Q001137,ID000143,Humphrey Bogart,Real,1,Humphrey Bogart
Q001138,ID000143,Humphrey Bogart,Fake,1,Humphrey Bogart AI generated
Q001139,ID000143,Humphrey Bogart,Fake,2,Humphrey Bogart deepfake
Q001140,ID000143,Humphrey Bogart,Fake,3,Humphrey Bogart AI image
Q001141,ID000143,Humphrey Bogart,Fake,4,Humphrey Bogart viral deepfake
Q001142,ID000143,Humphrey Bogart,Fake,5,Humphrey Bogart synthetic face
Q001143,ID000143,Humphrey Bogart,Fake,6,Humphrey Bogart Stable Diffusion
Q001144,ID000143,Humphrey Bogart,Fake,7,Humphrey Bogart Midjourney
Q001145,ID000144,ID000582-Nicole Kidman,Real,1,ID000582-Nicole Kidman
Q001146,ID000144,ID000582-Nicole Kidman,Fake,1,ID000582-Nicole Kidman AI generated
Q001147,ID000144,ID000582-Nicole Kidman,Fake,2,ID000582-Nicole Kidman deepfake
Q001148,ID000144,ID000582-Nicole Kidman,Fake,3,ID000582-Nicole Kidman AI image
Q001149,ID000144,ID000582-Nicole Kidman,Fake,4,ID000582-Nicole Kidman viral deepfake
Q001150,ID000144,ID000582-Nicole Kidman,Fake,5,ID000582-Nicole Kidman synthetic face
Q001151,ID000144,ID000582-Nicole Kidman,Fake,6,ID000582-Nicole Kidman Stable Diffusion
Q001152,ID000144,ID000582-Nicole Kidman,Fake,7,ID000582-Nicole Kidman Midjourney
Q001153,ID000145,IU,Real,1,IU
Q001154,ID000145,IU,Fake,1,IU AI generated
Q001155,ID000145,IU,Fake,2,IU deepfake
Q001156,ID000145,IU,Fake,3,IU AI image
Q001157,ID000145,IU,Fake,4,IU viral deepfake
Q001158,ID000145,IU,Fake,5,IU synthetic face
Q001159,ID000145,IU,Fake,6,IU Stable Diffusion
Q001160,ID000145,IU,Fake,7,IU Midjourney
Q001161,ID000146,Ibrahim-Traoré,Real,1,Ibrahim-Traoré
Q001162,ID000146,Ibrahim-Traoré,Fake,1,Ibrahim-Traoré AI generated
Q001163,ID000146,Ibrahim-Traoré,Fake,2,Ibrahim-Traoré deepfake
Q001164,ID000146,Ibrahim-Traoré,Fake,3,Ibrahim-Traoré AI image
Q001165,ID000146,Ibrahim-Traoré,Fake,4,Ibrahim-Traoré viral deepfake
Q001166,ID000146,Ibrahim-Traoré,Fake,5,Ibrahim-Traoré synthetic face
Q001167,ID000146,Ibrahim-Traoré,Fake,6,Ibrahim-Traoré Stable Diffusion
Q001168,ID000146,Ibrahim-Traoré,Fake,7,Ibrahim-Traoré Midjourney
Q001169,ID000147,Iga-Świątek,Real,1,Iga-Świątek
Q001170,ID000147,Iga-Świątek,Fake,1,Iga-Świątek AI generated
Q001171,ID000147,Iga-Świątek,Fake,2,Iga-Świątek deepfake
Q001172,ID000147,Iga-Świątek,Fake,3,Iga-Świątek AI image
Q001173,ID000147,Iga-Świątek,Fake,4,Iga-Świątek viral deepfake
Q001174,ID000147,Iga-Świątek,Fake,5,Iga-Świątek synthetic face
Q001175,ID000147,Iga-Świątek,Fake,6,Iga-Świątek Stable Diffusion
Q001176,ID000147,Iga-Świątek,Fake,7,Iga-Świątek Midjourney
Q001177,ID000148,Imane Anys (Pokimane),Real,1,Imane Anys (Pokimane)
Q001178,ID000148,Imane Anys (Pokimane),Fake,1,Imane Anys (Pokimane) AI generated
Q001179,ID000148,Imane Anys (Pokimane),Fake,2,Imane Anys (Pokimane) deepfake
Q001180,ID000148,Imane Anys (Pokimane),Fake,3,Imane Anys (Pokimane) AI image
